ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_1735930	ILMN_1735930	0.0107735046528024	3.48021483379085e-05	0.688054024533358	7.57577013736454	9.49317369455893	3.01359816656426	1016470339	KLF2	Kruppel like factor 2
ILMN_1664878	ILMN_1664878	0.0110690056272619	3.61107456656021e-05	0.825082284708551	7.02876984638875	9.43867501672179	2.97782120216125	291463276	NLRP2	NLR family pyrin domain containing 2
ILMN_2382309	ILMN_2382309	0.0111969407871964	3.68862310842841e-05	1.41761336149502	7.81773591813056	9.40742733177736	2.95720246506863	315360638	TCL1B	T-cell leukemia/lymphoma 1B
ILMN_1779997	ILMN_1779997	0.0112555312290027	3.75790770312968e-05	0.821848413142772	7.30792852512861	9.38013454049182	2.93913010874581	385137118	MEIS3	Meis homeobox 3
ILMN_1733860	ILMN_1733860	0.0112555312290027	3.82941985285686e-05	0.554048075624278	6.95540800045121	9.35255747468488	2.92080934378146	194018516	SYNPR	synaptoporin
ILMN_1801766	ILMN_1801766	0.0112555312290027	3.84797159425673e-05	0.62512005726488	9.17983585679791	9.34549892817646	2.91611026002723	194018569	MCUB	mitochondrial calcium uniporter dominant negative beta subunit
ILMN_1709474	ILMN_1709474	0.0112555312290027	3.87809424651518e-05	-0.492588991222157	7.66669570935419	-9.33411985504011	2.90852648327634	110349785	ALMS1	ALMS1, centrosome and basal body associated protein
ILMN_1744534	ILMN_1744534	0.0112555312290027	3.88792097720301e-05	1.12263147087263	8.12588698067561	9.33042943778594	2.90606471535416	115430226	LYRM5	LYR motif containing 5
ILMN_1806754	ILMN_1806754	0.0115105638734603	4.02038456864207e-05	1.07809106114921	10.3376665549147	9.28169306238487	2.87345148158313	108773800	GLDC	glycine decarboxylase
ILMN_2201580	ILMN_2201580	0.0115105638734603	4.16559322498714e-05	0.690690980330078	9.86368936727575	9.23032079128178	2.83886664267158	215276998	GSTM2	glutathione S-transferase mu 2 (muscle)
ILMN_1796094	ILMN_1796094	0.0115105638734603	4.17783592895191e-05	0.98592812531443	8.05506786923919	9.22608280592645	2.83600397469177	188536061	CD36	CD36 molecule
ILMN_1712523	ILMN_1712523	0.0115105638734603	4.18905288774694e-05	0.644491599031396	7.04519098178635	9.22221226231077	2.83338822708468	48375166	MAP6	microtubule associated protein 6
ILMN_2151281	ILMN_2151281	0.0115105638734603	4.22007877644696e-05	0.674346770276342	9.94113802734961	9.21156743380814	2.82618805663513	56676368	GABARAPL1	GABA type A receptor associated protein like 1
ILMN_1660063	ILMN_1660063	0.0115105638734603	4.29894947697293e-05	0.624736984593882	10.2559904522751	9.1849026844609	2.80811134003619	38455393	POLE4	DNA polymerase epsilon 4, accessory subunit
