ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_1728009	ILMN_1728009	0.152068176971749	0.000518592706441973	0.377562726314115	6.85708604502045	6.13518693490014	0.367561765977634	574957043	TMEM171	transmembrane protein 171
ILMN_3235325	ILMN_3235325	0.152068176971749	0.000531355939417934	0.372726600216287	7.41856019268185	6.10996618933164	0.345763025332632	91982748	SCARNA13	small Cajal body-specific RNA 13
ILMN_1768127	ILMN_1768127	0.152068176971749	0.0005327305621962	0.409336837111113	11.4900372816965	6.1072905421208	0.343444968803936	237649014	EBNA1BP2	EBNA1 binding protein 2
ILMN_3239965	ILMN_3239965	0.152068176971749	0.000541949060910676	-0.821913654201408	8.16195839209261	-6.08954518648692	0.328044707923632	323668304	IDO1	indoleamine 2,3-dioxygenase 1
ILMN_1660691	ILMN_1660691	0.152068176971749	0.000543679226450482	0.597921409163339	10.4464863231215	6.08625246867609	0.325182057532182	170295841	RAB31	RAB31, member RAS oncogene family
ILMN_1794803	ILMN_1794803	0.152068176971749	0.000549089490092319	0.47283520996419	7.05667959940943	6.07603152873028	0.316285958413293	223671892	NDP	NDP, norrin cystine knot growth factor
ILMN_1836218	ILMN_1836218	0.152068176971749	0.000550288092387399	0.331670093545444	7.39177920023057	6.07378246375599	0.314326358509607	10434986	PP7080	uncharacterized LOC25845
ILMN_1673455	ILMN_1673455	0.152068176971749	0.000550386852211482	-0.413603596554335	7.82728342309376	-6.07359739561545	0.31416507639603	226958574	RASAL2	RAS protein activator like 2
ILMN_3230880	ILMN_3230880	0.152068176971749	0.000555488682593737	0.383325012302246	7.33369504163785	6.06408737214058	0.305870557363033	155029543	BEND7	BEN domain containing 7
ILMN_1740185	ILMN_1740185	0.152068176971749	0.00056037116101828	0.424528052045758	8.87802867970818	6.05507765248692	0.298000117081195	671183099	TPMT	thiopurine S-methyltransferase
ILMN_1672776	ILMN_1672776	0.152068176971749	0.000568241060905204	0.576284280154991	6.83494711710306	6.04073919029955	0.28545007370696	98985802	COL10A1	collagen type X alpha 1 chain
ILMN_1712236	ILMN_1712236	0.152068176971749	0.000569051900009425	-0.445158296471668	7.25838712760209	-6.03927457798269	0.284166432154862	318037212	PPP1R3B	protein phosphatase 1 regulatory subunit 3B
ILMN_2414135	ILMN_2414135	0.153102003880233	0.000577817324181779	-0.453760496264461	7.67411040544719	-6.02358968491811	0.270399710649628	744066792	PLP1	proteolipid protein 1
ILMN_1798620	ILMN_1798620	0.156398626291555	0.000600156025699466	0.65554114253907	9.7080823048318	5.98479525251389	0.236192885145763	226503894	PQLC1	PQ loop repeat containing 1
ILMN_1706664	ILMN_1706664	0.156398626291555	0.000603737718853417	-0.316859465236894	7.36673014775494	-5.97872611583836	0.23082119476884	164663809	RIMKLA	ribosomal modification protein rimK like family member A
ILMN_1780773	ILMN_1780773	0.156398626291555	0.000605265585021371	-0.382835396066252	8.96435228310603	-5.97614945160766	0.228538971501187	257470985	LINC00938	long intergenic non-protein coding RNA 938
ILMN_1663640	ILMN_1663640	0.160297754664087	0.000625482187328685	-0.375171312088908	7.21347110593662	-5.94272707650812	0.198845924830765	395132502	MAOA	monoamine oxidase A
ILMN_1680130	ILMN_1680130	0.160997828600675	0.000633363171428487	-0.351238779229107	9.03349807547072	-5.93002522140355	0.187517471700033	157779136	DYM	dymeclin
ILMN_1743299	ILMN_1743299	0.164893900630075	0.000657966475436617	0.35040229327854	8.84371823955439	5.89148449040824	0.15299539339897	121114288	PEX2	peroxisomal biogenesis factor 2
ILMN_2127842	ILMN_2127842	0.164893900630075	0.000669003511351208	-0.552500812348673	7.54989314634343	-5.87471721741749	0.137906426489224	172072689	HBA2	hemoglobin subunit alpha 2
ILMN_1810191	ILMN_1810191	0.164893900630075	0.000669759569052286	-0.524070141450489	7.63286171104642	-5.87358000290671	0.136881498710633	226693353	PLA2G4C	phospholipase A2 group IVC
